,Unnamed: 0,Unnamed: 0.1,isosmiles,version_id,parent_id,Val,Neg,Pos
9841679,9841679,9841679,C=C1CCN(CC1)C(=O)C1CNC1,96211727,96211727,0,0.13341715931892395,0.8665828704833984
9200209,9200209,9200209,Br.CN(CC(CBr)c1ccccc1)Cc1ccccc1,56971302,56972051,0,0.1352720409631729,0.8647279143333435
3612511,3612511,3612511,[Na+].CC(CCC(=O)NCC([O-])=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,29914152,300132922,0,0.16172054409980774,0.8382794260978699
8626618,8626618,8626618,NS(=O)(=O)CCC1CCC1,50851882,50851882,0,0.17678217589855194,0.8232178688049316
8617061,8617061,8617061,COc1ccc(OC(F)F)c(NS(N)(=O)=O)c1,50797053,50797053,0,0.17878589034080505,0.8212141394615173
8870462,8870462,8870462,Cl.NC1(Cc2ccc(Cl)cc2)CCCOC1,53841754,40327517,0,0.18240989744663239,0.8175901174545288
9821120,9821120,9821120,CC1CCCN(CCI)C1C,96092623,96092623,0,0.18542419373989105,0.8145758509635925
4162421,4162421,4162421,C[C@@]1(CCCN1)c1nc2c(cccc2[nH]1)C(N)=O,32278019,32278019,0,0.19097861647605896,0.8090213537216187
9870314,9870314,9870314,CN(CCN)C1CC(O)C1,96374025,96374025,0,0.1913403570652008,0.8086596131324768
8603403,8603403,8603403,OC(=O)CONC(=O)NCC1CCCCC1,50764186,50764186,0,0.19234071671962738,0.8076593279838562
8606426,8606426,8606426,CCN(CC)CCS(N)(=O)=O,50772540,50772540,0,0.1923896074295044,0.8076103925704956
9750465,9750465,9750465,CC(NC1CC1)c1cn[nH]c1,81804472,81804472,0,0.19349482655525208,0.8065052032470703
7345076,7345076,7345076,CC(C)(C)OC(=O)N1CCc2c(C1)[nH]nc2C(F)(F)F,44391077,44391077,0,0.19394642114639282,0.8060535192489624
8623023,8623023,8623023,CC1CCC(NS(N)(=O)=O)C(C)N1,50819392,50819392,0,0.1949775516986847,0.8050224781036377
1777834,1777834,1777834,CCc1ccccc1NC(=O)CC(C)=O,10881905,10881905,0,0.1963338553905487,0.8036661744117737
5869446,5869446,5869446,CCCC1(CCNCC1)C(=O)Nc1ncc[nH]1,39872758,39872758,0,0.19636836647987366,0.8036316633224487
8616942,8616942,8616942,CC1(C)Oc2ccc(NS(N)(=O)=O)cc2O1,50796789,50796789,0,0.19907931983470917,0.8009207248687744
8605481,8605481,8605481,Cn1cnc(c1)S(=O)(=O)N1CCCC(C1)N=C=O,50769790,50769790,0,0.19957125186920166,0.8004287481307983
